workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,2d,pread,128,1,1,0.00,100.00,155.49,1844.66,2000.15,2.15,177.00,286.00,1.32,53997948
A,orig,2d,async,128,1,1,0.00,100.00,299.93,260.22,560.15,2.13,178.00,283.00,1.32,53998056
A,orig,2e_K10,pread,128,1,1,0.00,100.00,155.23,2615.77,2771.00,2.17,181.00,287.00,1.32,53998552
A,orig,2e_K10,async,128,1,1,0.00,100.00,300.56,240.32,540.88,2.17,181.00,287.00,1.32,53998796
A,orig,2e_K40,pread,128,1,1,0.00,100.00,153.22,5147.80,5301.02,2.17,182.00,306.00,1.32,54002628
A,orig,2e_K40,async,128,1,1,0.00,100.00,350.09,273.38,623.47,2.22,182.00,306.00,1.45,54002428
A,orig,2e_K50,pread,128,1,1,0.00,100.00,157.06,6090.81,6247.87,2.16,182.00,310.00,1.45,54008844
A,orig,2e_K50,async,128,1,1,0.00,100.00,383.40,280.15,663.55,2.13,182.00,310.00,1.45,54008704
A,orig,2e_K92,pread,128,1,1,0.00,100.00,156.50,9539.66,9696.16,2.14,183.00,326.00,1.45,54009948
A,orig,2e_K92,async,128,1,1,0.00,100.00,248.01,359.51,607.52,2.14,183.00,326.00,1.45,54010236
A,orig,2e_K100,pread,128,1,1,0.00,100.00,159.12,10317.88,10477.00,2.16,183.00,327.00,1.45,53999112
A,orig,2e_K100,async,128,1,1,0.00,100.00,248.73,370.34,619.07,2.17,183.00,326.00,1.45,53999788
A,orig,2e_K500,pread,128,1,1,0.00,100.00,162.47,20464.87,20627.34,2.07,168.00,432.00,1.45,54001204
A,orig,2e_K500,async,128,1,1,0.00,100.00,156.87,1003.92,1160.79,2.12,179.00,417.00,1.45,54001408
A,vacuum,2d,pread,128,1,1,0.00,100.00,185.68,1298.58,1484.26,2.02,142.00,231.00,1.45,54001620
A,vacuum,2d,async,128,1,1,0.00,100.00,553.08,217.23,770.31,2.05,142.00,229.00,1.45,54002488
A,vacuum,2e_K10,pread,128,1,1,0.00,100.00,190.51,2139.63,2330.14,2.04,143.00,238.00,1.45,54001788
A,vacuum,2e_K10,async,128,1,1,0.00,100.00,551.69,221.71,773.40,2.01,143.00,236.00,1.45,54002668
A,vacuum,2e_K40,pread,128,1,1,0.00,100.00,184.14,4715.40,4899.54,2.02,148.00,237.00,1.45,54003628
A,vacuum,2e_K40,async,128,1,1,0.00,100.00,554.32,271.64,825.96,2.03,148.00,236.00,1.45,54004836
A,vacuum,2e_K50,pread,128,1,1,0.00,100.00,189.67,5587.07,5776.74,2.03,148.00,241.00,1.45,54004336
A,vacuum,2e_K50,async,128,1,1,0.00,100.00,492.96,276.34,769.30,2.02,148.00,240.00,1.50,54005236
A,vacuum,2e_K92,pread,128,1,1,0.00,100.00,189.12,9111.04,9300.16,2.04,147.00,260.00,1.50,54005396
A,vacuum,2e_K92,async,128,1,1,0.00,100.00,344.52,349.62,694.14,2.03,147.00,260.00,1.50,54006032
A,vacuum,2e_K100,pread,128,1,1,0.00,100.00,184.39,9891.78,10076.17,2.09,147.00,262.00,1.50,54008744
A,vacuum,2e_K100,async,128,1,1,0.00,100.00,348.37,369.94,718.31,2.03,147.00,261.00,1.50,54010784
A,vacuum,2e_K500,pread,128,1,1,0.00,100.00,198.86,45510.98,45709.84,1.98,138.00,358.00,1.50,54007428
A,vacuum,2e_K500,async,128,1,1,0.00,100.00,188.18,1094.50,1282.68,2.02,145.00,330.00,1.50,54008156
A,ta,2d,pread,128,1,1,0.00,100.00,193.40,931.98,1125.38,2.16,176.00,277.00,1.50,54008652
A,ta,2d,async,128,1,1,0.00,53.50,439.38,242.20,681.58,2.11,176.00,276.00,1.50,54006932
A,ta,2e_K10,pread,128,1,1,0.00,100.00,195.60,1979.41,2175.01,2.19,179.00,282.00,1.50,54007352
A,ta,2e_K10,async,128,1,1,0.00,100.00,396.30,262.57,658.87,2.18,179.00,281.00,1.50,54007600
A,ta,2e_K40,pread,128,1,1,0.00,100.00,207.96,4786.97,4994.93,2.19,180.00,295.00,1.50,54008128
A,ta,2e_K40,async,128,1,1,0.00,98.80,369.64,303.34,672.98,2.13,180.00,293.00,1.50,54008140
A,ta,2e_K50,pread,128,1,1,0.00,100.00,199.22,6396.73,6595.95,2.15,180.00,298.00,1.50,54008648
A,ta,2e_K50,async,128,1,1,0.00,93.50,393.30,333.20,726.50,2.19,180.00,297.00,1.50,54007792
A,ta,2e_K92,pread,128,1,1,0.00,100.00,189.73,12626.00,12815.73,2.18,180.00,315.00,1.54,54007224
A,ta,2e_K92,async,128,1,1,0.00,45.90,367.38,368.74,736.12,2.22,181.00,315.00,1.54,54007480
A,ta,2e_K100,pread,128,1,1,0.00,100.00,191.88,15465.48,15657.36,2.15,179.00,316.00,1.54,54007820
A,ta,2e_K100,async,128,1,1,0.00,45.50,722.23,389.08,1111.31,2.19,181.00,315.00,1.54,54044996
A,ta,2e_K500,pread,128,1,1,0.00,100.00,195.37,17550.55,17745.92,2.13,170.00,415.00,1.54,53990232
A,ta,2e_K500,async,128,1,1,0.00,26.50,215.72,923.09,1138.81,2.15,178.00,398.00,1.54,53990272
B,orig,2d,pread,128,1,1,0.00,100.00,388.80,1927.30,2316.10,2.29,180.00,281.00,1.54,53984504
B,orig,2d,async,128,1,1,0.00,100.00,373.93,267.18,641.11,2.21,181.00,278.00,1.54,53987084
B,orig,2e_K10,pread,128,1,1,0.00,100.00,383.29,2714.29,3097.58,2.24,180.00,282.00,1.54,53987900
B,orig,2e_K10,async,128,1,1,0.00,100.00,380.76,240.46,621.22,2.25,181.00,280.00,1.54,53989088
B,orig,2e_K40,pread,128,1,1,0.00,100.00,402.79,5514.74,5917.53,2.28,180.00,293.00,1.54,53989488
B,orig,2e_K40,async,128,1,1,0.00,100.00,393.85,311.93,705.78,2.28,181.00,287.00,1.54,53991000
B,orig,2e_K50,pread,128,1,1,0.00,100.00,382.53,6427.26,6809.79,2.24,181.00,293.00,1.54,53991280
B,orig,2e_K50,async,128,1,1,0.00,100.00,390.56,326.05,716.61,2.26,183.00,290.00,1.54,53990724
B,orig,2e_K92,pread,128,1,1,0.00,100.00,384.14,10123.42,10507.56,2.26,182.00,306.00,1.54,53991472
B,orig,2e_K92,async,128,1,1,0.00,100.00,386.22,463.77,849.99,2.28,184.00,297.00,1.54,53991016
B,orig,2e_K100,pread,128,1,1,0.00,100.00,390.29,10817.33,11207.62,2.28,182.00,302.00,1.57,53991412
B,orig,2e_K100,async,128,1,1,0.00,78.00,390.22,427.27,817.49,2.31,184.00,296.00,1.57,53991904
B,orig,2e_K500,pread,128,1,1,0.00,100.00,387.34,19127.57,19514.91,2.18,168.00,385.00,1.57,53992996
B,orig,2e_K500,async,128,1,1,0.00,100.00,422.39,1125.20,1547.59,2.22,186.00,327.00,1.57,53994908
B,vacuum,2d,pread,128,1,1,0.00,100.00,508.90,1408.70,1917.60,2.14,144.00,238.00,1.57,53995448
B,vacuum,2d,async,128,1,1,0.00,100.00,504.99,317.88,822.87,2.15,145.00,235.00,1.57,53995500
B,vacuum,2e_K10,pread,128,1,1,0.00,100.00,518.06,2298.41,2816.47,2.13,144.00,241.00,1.57,53995444
B,vacuum,2e_K10,async,128,1,1,0.00,100.00,513.57,314.04,827.61,2.12,145.00,238.00,1.57,53995840
B,vacuum,2e_K40,pread,128,1,1,0.00,100.00,514.10,4724.86,5238.96,2.11,145.00,242.00,1.57,53995736
B,vacuum,2e_K40,async,128,1,1,0.00,100.00,507.03,332.17,839.20,2.17,146.00,238.00,1.57,53985464
B,vacuum,2e_K50,pread,128,1,1,0.00,100.00,515.42,5800.02,6315.44,2.15,146.00,248.00,1.57,53987132
B,vacuum,2e_K50,async,128,1,1,0.00,100.00,513.42,373.74,887.16,2.10,147.00,244.00,1.57,53986952
B,vacuum,2e_K92,pread,128,1,1,0.00,100.00,516.86,9764.01,10280.87,2.13,148.00,253.00,1.57,53988232
B,vacuum,2e_K92,async,128,1,1,0.00,100.00,508.88,472.18,981.06,2.13,149.00,248.00,1.57,53987812
B,vacuum,2e_K100,pread,128,1,1,0.00,100.00,488.11,10469.03,10957.14,2.12,148.00,253.00,1.57,53988724
B,vacuum,2e_K100,async,128,1,1,0.00,81.20,513.20,448.77,961.97,2.17,149.00,249.00,1.61,53980260
B,vacuum,2e_K500,pread,128,1,1,0.00,100.00,437.60,18545.92,18983.52,1.70,10.00,239.00,1.61,53979840
B,vacuum,2e_K500,async,128,1,1,0.00,100.00,392.72,1131.12,1523.84,2.11,151.00,281.00,1.61,53980656
B,ta,2d,pread,128,1,1,0.00,100.00,592.17,1018.34,1610.51,2.27,180.00,277.00,1.61,53980504
B,ta,2d,async,128,1,1,0.00,77.50,593.16,310.86,904.02,2.23,181.00,275.00,1.61,53980840
B,ta,2e_K10,pread,128,1,1,0.00,100.00,599.79,2355.89,2955.68,2.24,180.00,279.00,1.61,53980480
B,ta,2e_K10,async,128,1,1,0.00,80.00,597.56,322.13,919.69,2.30,181.00,278.00,1.61,53980840
B,ta,2e_K40,pread,128,1,1,0.00,100.00,554.44,4564.90,5119.34,2.31,180.00,284.00,1.61,53934868
B,ta,2e_K40,async,128,1,1,0.00,97.50,532.69,350.66,883.35,2.24,181.00,283.00,1.61,53952240
B,ta,2e_K50,pread,128,1,1,0.00,100.00,601.61,5505.45,6107.06,2.27,181.00,286.00,1.61,53952296
B,ta,2e_K50,async,128,1,1,0.00,100.00,590.09,372.69,962.78,2.26,183.00,284.00,1.61,53953872
B,ta,2e_K92,pread,128,1,1,0.00,100.00,603.50,11805.04,12408.54,2.31,182.00,291.00,1.61,53954316
B,ta,2e_K92,async,128,1,1,0.00,67.40,603.16,428.05,1031.21,2.30,184.00,288.00,1.61,53953784
B,ta,2e_K100,pread,128,1,1,0.00,100.00,599.59,12746.39,13345.98,2.28,182.00,290.00,1.61,53971668
B,ta,2e_K100,async,128,1,1,0.00,72.10,596.26,449.48,1045.74,2.29,184.00,287.00,1.61,53973384
B,ta,2e_K500,pread,128,1,1,0.00,100.00,546.12,18522.55,19068.67,2.20,171.00,372.00,1.64,53973320
B,ta,2e_K500,async,128,1,1,0.00,19.60,576.06,992.16,1568.22,2.25,186.00,320.00,1.64,53973976
C,orig,2d,pread,128,1,1,0.00,100.00,565.25,585.65,1150.90,1.60,24.00,25.00,1.64,53967860
C,orig,2d,async,128,1,1,0.00,100.00,634.07,299.95,934.02,1.61,24.00,25.00,1.64,53968296
C,orig,2e_K10,pread,128,1,1,0.00,100.00,153.60,1377.41,1531.01,1.60,23.00,33.00,1.64,53967924
C,orig,2e_K10,async,128,1,1,0.00,100.00,156.01,275.56,431.57,1.59,23.00,33.00,1.64,53968000
C,orig,2e_K40,pread,128,1,1,0.00,100.00,155.30,3906.09,4061.39,1.60,22.00,58.00,1.64,53967624
C,orig,2e_K40,async,128,1,1,0.00,100.00,158.13,306.29,464.42,1.59,22.00,58.00,1.64,53969176
C,orig,2e_K50,pread,128,1,1,0.00,100.00,158.04,4796.05,4954.09,1.60,22.00,51.00,1.64,53970884
C,orig,2e_K50,async,128,1,1,0.00,100.00,153.98,326.98,480.96,1.59,22.00,51.00,1.64,53972216
C,orig,2e_K92,pread,128,1,1,0.00,100.00,157.19,8660.44,8817.63,1.59,18.00,73.00,1.64,53971800
C,orig,2e_K92,async,128,1,1,0.00,100.00,153.37,361.83,515.20,1.58,21.00,64.00,1.64,53973324
C,orig,2e_K100,pread,128,1,1,0.00,100.00,155.11,9763.58,9918.69,1.60,16.00,80.00,1.64,53974352
C,orig,2e_K100,async,128,1,1,0.00,100.00,154.48,385.93,540.41,1.59,23.00,64.00,1.64,53975976
C,orig,2e_K500,pread,128,1,1,0.00,100.00,148.41,2503.14,2651.55,1.53,0.00,36.00,1.64,53976636
C,orig,2e_K500,async,128,1,1,0.00,66.30,153.61,673.76,827.37,1.53,0.00,36.00,1.64,53977388
C,vacuum,2d,pread,128,1,1,0.00,100.00,432.90,605.20,1038.10,1.53,14.00,36.00,1.64,53977428
C,vacuum,2d,async,128,1,1,0.00,100.00,497.68,260.55,758.23,1.53,14.00,36.00,1.64,53977760
C,vacuum,2e_K10,pread,128,1,1,0.00,100.00,182.11,1443.10,1625.21,1.53,12.00,44.00,1.64,53978012
C,vacuum,2e_K10,async,128,1,1,0.00,100.00,191.57,275.61,467.18,1.52,12.00,44.00,1.75,53975888
C,vacuum,2e_K40,pread,128,1,1,0.00,100.00,182.10,3950.97,4133.07,1.54,14.00,57.00,1.75,53992568
C,vacuum,2e_K40,async,128,1,1,0.00,100.00,185.46,315.87,501.33,1.52,14.00,56.00,1.75,53993648
C,vacuum,2e_K50,pread,128,1,1,0.00,100.00,189.57,4924.74,5114.31,1.52,13.00,58.00,1.75,53993484
C,vacuum,2e_K50,async,128,1,1,0.00,100.00,186.28,318.47,504.75,1.52,13.00,57.00,1.75,53995540
C,vacuum,2e_K92,pread,128,1,1,0.00,100.00,188.81,3302.07,3490.88,1.50,3.00,38.00,1.75,53992940
C,vacuum,2e_K92,async,128,1,1,0.00,100.00,187.55,379.24,566.79,1.55,13.00,65.00,1.75,53993568
C,vacuum,2e_K100,pread,128,1,1,0.00,100.00,192.38,3126.05,3318.43,1.48,3.00,36.00,1.75,53993872
C,vacuum,2e_K100,async,128,1,1,0.00,100.00,186.30,389.06,575.36,1.52,13.00,67.00,1.75,53994820
C,vacuum,2e_K500,pread,128,1,1,0.00,100.00,186.20,2603.26,2789.46,1.50,0.00,30.00,1.75,53995828
C,vacuum,2e_K500,async,128,1,1,0.00,62.10,188.28,755.85,944.13,1.48,0.00,30.00,1.75,53995324
C,ta,2d,pread,128,1,1,0.00,100.00,454.89,1010.22,1465.11,1.61,24.00,28.00,1.75,53995576
C,ta,2d,async,128,1,1,0.00,100.00,478.64,307.46,786.10,1.60,24.00,28.00,1.75,53996484
C,ta,2e_K10,pread,128,1,1,0.00,100.00,185.19,2003.05,2188.24,1.60,23.00,34.00,1.75,53996384
C,ta,2e_K10,async,128,1,1,0.00,70.70,185.90,365.46,551.36,1.62,23.00,34.00,1.75,53996636
C,ta,2e_K40,pread,128,1,1,0.00,100.00,196.93,4564.26,4761.19,1.62,22.00,58.00,1.75,53996804
C,ta,2e_K40,async,128,1,1,0.00,100.00,184.36,394.00,578.36,1.61,22.00,57.00,1.75,53998564
C,ta,2e_K50,pread,128,1,1,0.00,100.00,187.27,5437.17,5624.44,1.62,22.00,50.00,1.75,53997028
C,ta,2e_K50,async,128,1,1,0.00,100.00,188.91,405.04,593.95,1.61,22.00,51.00,1.75,53997808
C,ta,2e_K92,pread,128,1,1,0.00,100.00,189.37,9239.30,9428.67,1.59,18.00,77.00,1.75,53997804
C,ta,2e_K92,async,128,1,1,0.00,100.00,185.80,451.34,637.14,1.60,21.00,65.00,1.77,53997952
C,ta,2e_K100,pread,128,1,1,0.00,100.00,198.15,10301.38,10499.53,1.60,16.00,82.00,1.77,53998552
C,ta,2e_K100,async,128,1,1,0.00,100.00,190.29,443.79,634.08,1.60,23.00,65.00,1.77,53999412
C,ta,2e_K500,pread,128,1,1,0.00,100.00,194.06,3835.27,4029.33,1.56,0.00,38.00,1.77,53998376
C,ta,2e_K500,async,128,1,1,0.00,100.00,184.13,897.11,1081.24,1.55,0.00,38.00,1.77,53986108
A,orig,2d,pread,128,2,0,0.00,100.00,153.78,1882.53,2036.31,2.14,177.00,286.00,1.77,53986080
A,orig,2d,async,128,2,0,0.00,100.00,333.80,314.18,647.98,2.14,178.00,283.00,1.77,53986784
A,orig,2e_K10,pread,128,2,0,0.00,100.00,156.31,2688.22,2844.53,2.16,181.00,287.00,1.77,53985960
A,orig,2e_K10,async,128,2,0,0.00,100.00,296.25,285.26,581.51,2.12,181.00,287.00,1.77,53986604
A,orig,2e_K40,pread,128,2,0,0.00,100.00,156.48,5140.60,5297.08,2.17,182.00,306.00,1.77,53986404
A,orig,2e_K40,async,128,2,0,0.00,100.00,333.74,327.69,661.43,2.17,182.00,306.00,1.77,53986740
A,orig,2e_K50,pread,128,2,0,0.00,100.00,154.66,5971.21,6125.87,2.17,182.00,309.00,1.77,53987460
A,orig,2e_K50,async,128,2,0,0.00,100.00,308.96,333.50,642.46,2.17,182.00,310.00,1.77,53987356
A,orig,2e_K92,pread,128,2,0,0.00,100.00,153.77,9648.46,9802.23,2.15,183.00,326.00,1.77,53989796
A,orig,2e_K92,async,128,2,0,0.00,100.00,223.10,400.96,624.06,2.17,183.00,326.00,1.77,53989616
A,orig,2e_K100,pread,128,2,0,0.00,100.00,157.39,10383.78,10541.17,2.18,183.00,327.00,1.77,53990396
A,orig,2e_K100,async,128,2,0,0.00,100.00,248.31,402.04,650.35,2.16,183.00,327.00,1.79,54300796
A,orig,2e_K500,pread,128,2,0,0.00,100.00,163.99,20614.30,20778.29,2.12,168.00,429.00,1.79,53970608
A,orig,2e_K500,async,128,2,0,0.00,100.00,162.29,1090.07,1252.36,2.11,179.00,415.00,1.79,53972052
A,vacuum,2d,pread,128,2,0,0.00,100.00,186.59,1324.47,1511.06,2.03,142.00,231.00,1.79,53970636
A,vacuum,2d,async,128,2,0,0.00,100.00,554.97,268.46,823.43,2.04,142.00,229.00,1.79,53971776
A,vacuum,2e_K10,pread,128,2,0,0.00,100.00,184.61,2148.51,2333.12,2.03,143.00,238.00,1.79,53972144
A,vacuum,2e_K10,async,128,2,0,0.00,100.00,558.16,281.26,839.42,2.03,143.00,236.00,1.79,53976508
A,vacuum,2e_K40,pread,128,2,0,0.00,100.00,187.20,4733.20,4920.40,2.06,148.00,237.00,1.79,53964668
A,vacuum,2e_K40,async,128,2,0,0.00,100.00,556.80,322.13,878.93,2.05,148.00,236.00,1.79,53965908
A,vacuum,2e_K50,pread,128,2,0,0.00,100.00,192.26,5600.43,5792.69,2.05,148.00,241.00,1.79,53965328
A,vacuum,2e_K50,async,128,2,0,0.00,100.00,552.25,338.35,890.60,2.04,148.00,240.00,1.79,53966296
A,vacuum,2e_K92,pread,128,2,0,0.00,100.00,184.20,9145.42,9329.62,2.02,147.00,260.00,1.79,53967040
A,vacuum,2e_K92,async,128,2,0,0.00,100.00,345.42,412.99,758.41,2.03,147.00,260.00,1.79,53966688
A,vacuum,2e_K100,pread,128,2,0,0.00,100.00,187.55,9837.39,10024.94,2.03,147.00,261.00,1.79,53966716
A,vacuum,2e_K100,async,128,2,0,0.00,100.00,347.52,415.30,762.82,2.05,147.00,261.00,1.79,53967212
A,vacuum,2e_K500,pread,128,2,0,0.00,100.00,200.89,44774.85,44975.74,1.98,138.00,361.00,1.79,53967232
A,vacuum,2e_K500,async,128,2,0,0.00,100.00,186.16,1130.69,1316.85,2.00,145.00,332.00,1.81,53967492
A,ta,2d,pread,128,2,0,0.00,100.00,196.75,1011.80,1208.55,2.16,176.00,276.00,1.81,53967724
A,ta,2d,async,128,2,0,0.00,72.10,437.96,300.88,738.84,2.14,176.00,276.00,1.81,53968016
A,ta,2e_K10,pread,128,2,0,0.00,100.00,195.95,2033.15,2229.10,2.16,179.00,282.00,1.81,53967652
A,ta,2e_K10,async,128,2,0,0.00,77.40,398.94,318.94,717.88,2.18,179.00,281.00,1.81,53968200
A,ta,2e_K40,pread,128,2,0,0.00,100.00,197.23,4733.67,4930.90,2.18,180.00,295.00,1.81,53968876
A,ta,2e_K40,async,128,2,0,0.00,84.30,392.90,354.13,747.03,2.15,180.00,294.00,1.81,53968240
A,ta,2e_K50,pread,128,2,0,0.00,100.00,199.43,6226.53,6425.96,2.16,180.00,298.00,1.81,53968788
A,ta,2e_K50,async,128,2,0,0.00,93.50,393.19,378.55,771.74,2.15,180.00,297.00,1.81,53968800
A,ta,2e_K92,pread,128,2,0,0.00,100.00,191.04,15573.41,15764.45,2.17,180.00,315.00,1.81,53967508
A,ta,2e_K92,async,128,2,0,0.00,45.90,708.15,424.45,1132.60,2.21,181.00,316.00,1.81,53958480
A,ta,2e_K100,pread,128,2,0,0.00,100.00,196.48,15915.25,16111.73,2.17,179.00,317.00,1.81,53959668
